Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Jean-Clair Todibo,2018-2019,18,Toulouse,0.1,100,39,46.1,0,735.6,3.3,119.6,0.6,0,0.9,0.5,0,0.4,58.5,0.3,1.4,0.5,1.9,1.2,0.2,1.5,0.5,1,1.5,3.8,6.7,1.9,1.6,0,0.2,0,83.3,33.9,25,1.1,CB,0
Jean-Clair Todibo,2020-2021,20,Nice,0.1,14.3,67,76.3,0.2,1350.5,8.5,210.5,0.9,0.1,0.9,0.3,0,0.6,53.1,0.3,1.2,0.9,1,1.1,1,0.9,0.5,0.4,1.3,3,3.2,2.8,2.7,0,1.1,0.1,73.9,41.4,43.4,1.9,CB,0
Jean-Clair Todibo,2021-2022,21,Nice,0.15,31.6,61.6,70.7,0.2,1186.6,5.7,169.3,1,0,0.6,0.2,0.1,1,60.9,0.2,0.7,0.3,1.1,1.1,0.6,1.3,0.6,0.7,1.5,3.2,3.8,2.1,1.8,0.1,0.5,0.3,73.7,32.9,46.2,2.4,CB,1
Jean-Claude Billong,2021-2022,27,Clermont Foot,0.5,38.3,45,85.1,0.1,253.9,6.4,79.4,0.4,0.1,0.4,0.1,0,0.4,76.3,0.2,0.6,0.8,0.7,0.7,0.3,0.8,0.1,0.7,0.9,2.5,3.2,1,0,0.4,0.1,0.1,66.7,29.3,22.1,1.7,CB,0
Jean-Kevin Duverne,2019-2020,22,Brest,0.2,55.4,65.9,84,0,372.8,13.7,153.6,1.1,0.2,0.4,0.2,0,0.8,42.9,0,0.8,0.7,0.6,0.2,0.3,1.8,0.6,1.1,1.5,2.4,3.8,1.7,0.2,0.9,0,0,63.6,39.2,35.5,1.9,CB,0
Jean-Kevin Duverne,2020-2021,23,Brest,0.4,50.3,60.4,83.4,0,437.6,13.7,161.4,1.7,0.1,0.5,0.4,0.1,0.6,43.2,0.2,0.9,0.7,0.9,0.7,0.8,1.1,0.7,0.4,1.3,3,3.1,2.7,0,0.6,0.4,0.4,94.7,34.6,31.8,3.1,CB,0
Jean-Kevin Duverne,2021-2022,24,Brest,0.4,39.7,53.3,74.4,0.5,322.3,9.2,110.1,2.3,0.2,1.4,0.6,0.2,1.7,52.1,0,1,0.9,1.3,1.3,1.4,1.2,0.1,1,1.6,3.7,2.8,9.2,0,0.4,2.2,2.2,45.2,20.9,31,12.8,CB,0
Jemerson,2017-2018,24,Monaco,0.11,11.1,37.3,42.9,0,768.9,5.1,94.5,0.3,0.1,0.4,0.1,0,0.3,54,0.2,1.1,0.5,1,0.8,0.2,1.5,1,0.4,1.8,3.3,5.3,1.9,1.9,0,0.3,0,66.7,27.5,25.5,1.5,CB,0
Jemerson,2018-2019,25,Monaco,0.06,0,37.9,43.7,0.1,753.6,4.2,91.4,0.4,0,0.4,0.1,0,0.5,64.3,0.4,1.7,0.8,1.5,1.2,0.7,1.2,0.7,0.5,1,3.2,4.9,1.9,1.9,0,0.6,0,50,26.9,26.1,1.6,CB,0
Jemerson,2019-2020,26,Monaco,0,0,45.9,55.2,0.1,766.3,1.7,114.4,0.9,0,0.6,0.3,0,0.6,52.2,0.2,1.8,0.7,1.4,0.9,0.9,0.7,0.3,0.4,1.4,3.7,2,5,2.2,0.1,0.5,0.5,100,18.4,40,4.4,CB,0
