Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Ronaël Pierre-Gabriel,2017-2018,19,Saint-Étienne,0,0.03,40.2,49.4,0.3,631.6,2.2,78.7,1.5,1.2,1,33.4,1.1,31.8,0.2,1.1,1.2,2.4,1.3,0.8,0.2,0.7,0.7,4,2.7,11.3,0.8,0.1,0.1,0.9,0,60.9,3.1,19,30.8,10.2,0.5,RB,0
Ronaël Pierre-Gabriel,2020-2021,22,Brest,0.1,0.06,45.2,55.3,0.9,750.7,3.1,80.7,1.2,0.5,0.5,38,1.6,44.7,0.2,1.1,1.1,1.6,1.4,0.7,0.3,0.4,1.2,3.5,2.2,10.5,0.7,0,0.1,1.6,0,61.4,3.9,20.9,31.2,13.2,0.6,RB,0
Ronaël Pierre-Gabriel,2021-2022,23,Brest,0.1,0.11,42.3,50.4,0.7,644.8,2.4,98.9,1.6,1.1,0.7,34.1,1.7,35.9,0.2,1,1,1.6,1.5,1.1,0.2,0.5,1.7,4.5,2.6,10.5,0.6,0,0.2,1.3,0,58.9,3.6,18.6,29.1,14.3,0.9,RB,0
Ruben Aguilar,2017-2018,24,Montpellier,0.1,0.6,56.5,76.8,0.8,289.1,5.4,125,2.8,1.2,1,39.3,2.6,44.4,0.1,1.1,1.8,1.8,1.3,1.3,0.1,0.8,1.4,4.7,3.3,12.8,0.1,0.4,3.5,3.5,0,62.5,2.3,16.8,33.7,20.1,1.2,RB,0
Ruben Aguilar,2018-2019,25,Montpellier,0.1,0.5,58.4,80.2,0.9,268.9,5.7,112.9,2.1,1.7,0.9,41.7,3.7,46.7,0.3,1.3,1.4,1.8,1.4,1.1,0.1,0.7,1.3,4.5,1.8,10.6,0,0.2,4.1,4.1,0,50.7,2.2,14.8,33.9,21.9,1.2,RB,1
Ruben Aguilar,2019-2020,26,Monaco,0.2,0.5,66.1,84.1,1.3,290.8,5.8,124.4,1.6,0.8,0.9,48.8,3,55.2,0.2,0.8,1.7,1.8,1.6,0.8,0.2,0.3,0.9,3.9,1.8,10.2,0.1,0.3,5.3,5.3,0,54.5,2.7,17.5,37,22.5,1.8,RB,1
Ruben Aguilar,2020-2021,27,Monaco,0.2,0.3,63.4,80.7,0.8,217.8,6.7,109.9,2.1,1.6,0.6,47.4,3.2,54.8,0.2,1.6,1.5,1.5,1.3,0.8,0.1,1.1,1.9,4.4,1.7,8.9,0,0.6,4.8,4.8,0.9,41.4,2.1,15,36,25.6,2.3,RB,0
Ruben Aguilar,2021-2022,28,Monaco,0.1,0.4,72.7,83,0.2,368.7,7.5,122.8,2.3,1.3,0.2,49.9,1.3,45.2,0.2,1.3,1.2,2.2,1.8,1.1,0.2,0.6,1.9,5.1,2.4,11.6,0.2,0.7,2.7,2.7,0,45.5,3.2,21.3,42.7,20.5,1.1,RB,0
Sacha Boey,2020-2021,19,2 Teams,0.1,0.5,51.7,76.7,0.6,261.7,6.9,53.4,1,1.7,0.6,31.3,1.8,49,0,1.7,0.6,1.9,1.4,1.3,0.2,0.9,1.9,4.5,2.9,12.1,0,0.1,2.4,2.4,0.1,48.9,3.5,20.4,29.1,15,0.9,RB,1
Saidy Janko,2017-2018,21,Saint-Étienne,0.1,0.03,39.4,51.5,0.7,584.1,1.8,133.4,2.7,1.2,1.3,34.4,1,48.5,0.3,1.5,0.8,1.9,0.9,0.6,0.1,1.3,0.9,3.6,3.2,12.3,0.6,0,0.1,3.6,0.1,71.1,3.2,16.5,28.4,18.6,0.5,RB,0
Sergi Palencia,2018-2019,22,Bordeaux,0.1,0.03,42.1,54.4,0.9,667.5,3.3,87.6,1.4,0.8,0.6,34.7,1.9,31.7,0.3,1.3,1.2,2.3,1.2,1.3,0.1,0.9,0.8,4.1,3.2,10.6,0.7,0.1,0.4,3.4,0,41.4,3.4,18.9,31.3,15.7,0.4,RB,0
Sofiane Alakouch,2018-2019,20,Nîmes,0.1,0.6,52.1,75.9,0.2,249.2,5,93.9,1.7,1.5,0.8,33.5,2.7,40.9,0.2,1.4,1.5,2.1,1.7,1.3,0.2,0.5,2.2,6,2.7,12.1,0.1,0.1,1.9,1.9,0,61.8,2.6,18.5,30.1,17.4,0.8,RB,0
Sofiane Alakouch,2019-2020,21,Nîmes,0,0.6,51.3,81.2,0.5,269,5.1,95,1.4,1.4,0.5,31.4,2.1,38.5,0.2,0.9,1.7,1.7,1.6,1.5,0.1,0.7,1.5,4.4,2.5,12.6,0,0.3,1.9,1.9,0,51.5,2.5,18.3,30.4,15.6,1.1,RB,0
Sofiane Alakouch,2020-2021,22,Nîmes,0.1,0.3,54.6,78.6,0.1,279.6,6.3,80.7,1.3,1.6,1,36.2,1.3,35,0.2,1.5,1.6,2,1.7,1,0.1,0.9,1.3,4.4,2.3,11.4,0,0.2,1.1,1.1,0,50,2.8,22.5,31.7,13.6,0.5,RB,0
Souleyman Doumbia,2020-2021,23,Angers,0.1,0.3,51.5,79.3,0.4,204.3,5.1,108.4,2.1,1.9,0.9,35.3,1.5,52.3,0.3,1.3,0.6,1.3,0.9,0.6,0.2,0.6,1.7,3.6,2,10.1,0,0.2,2.6,2.6,0,59.5,2.5,18.2,30.3,14.1,0.5,LB,0
Souleyman Doumbia,2021-2022,24,Angers,0.1,0.6,43.9,81.8,0.5,149.9,3.3,107.6,1.9,2.1,1,34.8,1.7,46.7,0.4,0.9,1,0.8,0.5,0.6,0.2,0.9,1.6,2.8,2.1,7.5,0,0.1,2.8,2.8,0,52.3,2.8,16.2,25.8,15.5,1.2,LB,0
