Player,Season,Team,Role,p_tier_logistic,p_tier_mlp,p_tier_xgb,p_tier_mean
Victor Osimhen,2019-2020,Lille,CF,0.49878893721321726,0.9490264156876511,0.59749943,0.6817715943601548
Mariano,2017-2018,Lyon,CF,0.5653039904244742,0.9585033933796436,0.58174294,0.7018501087124465
Martin Braithwaite,2017-2018,Bordeaux,CF,0.463274440032228,0.9608884418101837,0.5500157,0.6580595232616389
Randal Kolo Muani,2021-2022,Nantes,CF,0.467621214072276,0.9303869086989557,0.5373303,0.6451128173964714
Marcus Thuram,2017-2018,Guingamp,CF,0.48553958090967514,0.9371806836124245,0.5349681,0.6525627808861812
Serhou Guirassy,2021-2022,Rennes,CF,0.5359529140977572,0.9941573943649683,0.5039384,0.6780162284554199
Ludovic Ajorque,2021-2022,Strasbourg,CF,0.42685192493869667,0.955169914082561,0.49678722,0.626269686420299
Jonathan David,2021-2022,Lille,CF,0.657796210551287,0.9023056066574222,0.4945368,0.6848795348267362
Mauro Icardi,2021-2022,Paris S-G,CF,0.25612835770371095,0.9850207100091667,0.48786646,0.5763385096632953
Kasper Dolberg,2021-2022,Nice,CF,0.42229476666651417,0.8636181057844721,0.4484643,0.5781257255532473
Boulaye Dia,2020-2021,Reims,CF,0.5334076875913846,0.9932155504660735,0.43553627,0.6540531678102294
Arkadiusz Milik,2020-2021,Marseille,CF,0.5043071137415984,0.9744984555806612,0.4007071,0.6265042217278981
Arkadiusz Milik,2021-2022,Marseille,CF,0.3855085961586819,0.9428912749052243,0.39375815,0.5740526730062824
Arnaud Kalimuendo,2020-2021,2 Teams,CF,0.8582366339558364,0.0496656605913557,0.3838799,0.43059406484194324
Wissam Ben Yedder,2019-2020,Monaco,CF,0.8250995944037014,0.009945588310391284,0.36175433,0.3989331702421864
