consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
179,Thiago Mendes,2018-2019,Lille,DM,0.4635283987179981,0.005482599,0.18927044456000236,155.0,205.0,168.0,176.0
180,Youssef Aït Bennasser,2017-2018,Caen,DM,0.4794003295523105,0.0059547033,0.16479212157505096,145.0,199.0,185.0,176.33333333333334
181,Habib Maïga,2017-2018,Saint-Étienne,DM,0.5037712451891632,0.0008980857,0.2812737498137268,132.0,279.0,119.0,176.66666666666666
182,Jérémy Gélin,2019-2020,Rennes,DM,0.4264137247108056,0.00756235,0.18037879905925464,177.0,191.0,174.0,180.66666666666666
183,Mickaël Cuisance,2020-2021,Marseille,CM,0.4836715431131483,0.004036348,0.17126726844421708,140.0,224.0,180.0,181.33333333333334
184,Mehdi Abeid,2017-2018,Dijon,CM,0.4225529625608961,0.008540014,0.16510189843004383,182.0,183.0,183.0,182.66666666666666
185,Lucas Da Cunha,2021-2022,2 Teams,DM,0.4499001044276375,0.008685346,0.13231094755584236,162.0,181.0,207.0,183.33333333333334
186,Eddy Gnahoré,2019-2020,Amiens,DM,0.42760796153247754,0.013754883,0.11775408002136199,175.0,155.0,221.0,183.66666666666666
187,Enzo Le Fée,2021-2022,Lorient,CM,0.1510033406360299,0.036920916,0.23907146128797793,317.5,92.5,143.5,184.5
188,Batista Mendy,2021-2022,Angers,DM,0.4133328679924527,0.0069273645,0.17569201869558287,187.0,195.0,179.0,187.0
189,Ibrahim Amadou,2017-2018,Lille,DM,0.41995706498784996,0.0055125616,0.17760442054449227,183.0,203.0,178.0,188.0
190,Paul Lasne,2017-2018,Montpellier,CM,0.41238692327696114,0.007978339,0.15650144781059389,189.0,187.0,193.0,189.66666666666666
191,Assane Dioussé,2017-2018,Saint-Étienne,DM,0.4707620101806288,0.0023509895,0.17932332166587736,153.0,241.0,176.0,190.0
192,Vincent Pajot,2019-2020,2 Teams,DM,0.3539346323489839,0.008693544,0.18907643414217423,224.0,180.0,169.0,191.0
193,Didier Ibrahim Ndong,2019-2020,Dijon,DM,0.4352810251748843,0.004982863,0.14430630808243367,169.0,211.0,200.0,193.33333333333334
194,Enzo Le Fée,2021-2022,Lorient,CM,0.5814180944993794,0.0007305862,0.14362555716223122,93.5,285.5,202.5,193.83333333333334
195,Boubacar Kamara,2019-2020,Marseille,DM,0.266732078719961,0.014056865,0.21514503387268355,279.0,150.0,153.0,194.0
196,Thiago Mendes,2020-2021,Lyon,DM,0.439880836056767,0.002299734,0.17977914555686944,166.0,243.0,175.0,194.66666666666666
197,Lucas Deaux,2017-2018,Guingamp,DM,0.43067903247722117,0.007055689,0.11811987834380902,172.0,192.0,220.0,194.66666666666666
198,Thomas Monconduit,2017-2018,Amiens,DM,0.41501345119953,0.0040591466,0.1657050729672672,185.0,223.0,182.0,196.66666666666666
199,Hicham Boudaoui,2020-2021,Nice,CM,0.41467529514978135,0.002784941,0.1852508653746735,186.0,236.0,170.0,197.33333333333334
200,Flavien Tait,2020-2021,Rennes,CM,0.11036308932082206,0.017558515,0.2400598153138379,327.5,130.5,138.5,198.83333333333334
201,Antonin Bobichon,2019-2020,2 Teams,CM,0.33923107545326564,0.015364122,0.11107489882655716,231.0,145.0,226.0,200.66666666666666
202,Lukas Lerager,2018-2019,Bordeaux,CM,0.36863750797100076,0.009049131,0.13070973048183368,216.0,178.0,208.0,200.66666666666666
203,Ibrahim Amadou,2021-2022,Metz,DM,0.34408994706532875,0.007841493,0.16251455279147953,229.0,190.0,187.0,202.0
204,Dylan Chambost,2021-2022,Troyes,CM,0.359096781502563,0.0070482837,0.15730210565133768,221.0,193.0,192.0,202.0
205,Lamine Fomba,2019-2020,Nîmes,DM,0.3319292889958555,0.00936887,0.1508099107970261,237.0,177.0,196.0,203.33333333333334
206,Enzo Le Fée,2021-2022,Lorient,CM,0.1510033406360299,0.036920916,0.14362555716223122,317.5,92.5,202.5,204.16666666666666
207,Mehdi Chahiri,2020-2021,Strasbourg,CM,0.39851487912005756,0.0022672962,0.18292721738808398,198.0,244.0,172.0,204.66666666666666
208,Imran Louza,2020-2021,Nantes,CM,0.36771310227154064,0.0053517953,0.14747812435337487,217.0,207.0,198.0,207.33333333333334
209,Lucas Evangelista,2018-2019,Nantes,CM,0.374701384140525,0.003134867,0.1649657310046136,211.0,231.0,184.0,208.66666666666666
210,Wylan Cyprien,2021-2022,Nantes,CM,0.3499777445467278,0.008322026,0.11857547989336092,227.0,185.0,219.0,210.33333333333334
211,James Lea Siliki,2019-2020,Rennes,CM,0.3774611635246208,0.0049997508,0.12374841727108214,208.0,210.0,213.0,210.33333333333334
212,Jean-Eudes Aholou,2020-2021,2 Teams,DM,0.3637439065872109,0.0064434637,0.11924120019540133,219.0,197.0,217.0,211.0
213,Yann M'Vila,2018-2019,Saint-Étienne,DM,0.39260334148667114,0.004164446,0.1251307279383492,202.0,221.0,211.0,211.33333333333334
214,Lebogang Phiri,2017-2018,Guingamp,CM,0.43046581778030885,0.0028534092,0.10578589753756218,173.0,235.0,232.0,213.33333333333334
215,Abdoulaye Touré,2019-2020,Nantes,DM,0.372202318973486,0.01271675,0.07405570257090596,214.0,161.0,265.0,213.33333333333334
216,Eliot Matazo,2021-2022,Monaco,CM,0.349960627930906,0.0054973504,0.13030133530316712,228.0,204.0,209.0,213.66666666666666
217,Kévin N'Doram,2019-2020,Metz,DM,0.39734453727619035,0.0057930825,0.09532891161500007,200.0,200.0,242.0,214.0
218,Antonin Bobichon,2018-2019,Nîmes,CM,0.31619713992456383,0.024655772,0.05786049128529905,247.0,112.0,283.0,214.0
