Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Charles Traore,2019-2020,Nantes,LB,0,0.10140332524687554,150,0.42248062015503873,0.07233314509070186,193,0.2558139534883721
Enock Kwateng,2018-2019,Nantes,RB,0,0.10046199875459183,151,0.4186046511627907,0.17098310475465797,125,0.5193798449612403
Clément Michelin,2020-2021,Lens,RB,0,0.10035702105757162,152,0.41472868217054265,0.09530533567778426,166,0.36046511627906974
Emil Krafth,2018-2019,Amiens,RB,1,0.09821193649599988,153,0.4108527131782946,0.19256725967106295,118,0.5465116279069767
Maxime Poundjé,2018-2019,Bordeaux,LB,0,0.09800708527055967,154,0.4069767441860465,0.06690800828657045,200,0.22868217054263565
Kenny Lala,2020-2021,Strasbourg,RB,0,0.0973203656957624,155,0.40310077519379844,0.10638470756348341,160,0.38372093023255816
Florian Miguel,2019-2020,Nîmes,LB,0,0.09690943429137375,156,0.3992248062015504,0.11832055412336409,156,0.3992248062015504
Pedro Rebocho,2017-2018,Guingamp,LB,0,0.0963162563110363,157,0.3953488372093023,0.13217460856248545,148,0.43023255813953487
Romain Perraud,2019-2020,Brest,LB,1,0.09621062411491371,158,0.39147286821705424,0.33925258673192654,80,0.6937984496124031
Iván Balliu,2017-2018,Metz,RB,0,0.09377631512953193,159,0.3875968992248062,0.1260501585723817,152,0.41472868217054265
Danilo Avelar,2017-2018,Amiens,LB,0,0.09197424576467371,160,0.38372093023255816,0.13794847418919598,145,0.4418604651162791
Florian Miguel,2018-2019,Nîmes,LB,0,0.09148837401954048,161,0.3798449612403101,0.16510488060453232,129,0.5038759689922481
Nicolas Cozza,2018-2019,Montpellier,LB,0,0.08913390274570719,162,0.375968992248062,0.387031441182714,70,0.7325581395348837
Patrick Burner,2019-2020,Nice,RB,0,0.0870743375324883,163,0.37209302325581395,0.1261311960116424,151,0.4186046511627907
Maxime Poundjé,2017-2018,Bordeaux,LB,0,0.08641584216588862,164,0.3682170542635659,0.14714162782681986,139,0.46511627906976744
Ghislain Konan,2019-2020,Reims,LB,0,0.08358749899612943,165,0.3643410852713178,0.05768445505863906,212,0.1821705426356589
Charles Traore,2018-2019,Nantes,LB,0,0.08275647658879134,166,0.36046511627906974,0.08200708682744565,184,0.29069767441860467
Faitout Maouassa,2019-2020,Rennes,LB,0,0.08048845623189456,167,0.35658914728682173,0.0871854104890426,175,0.32558139534883723
